E(level)(keV),Jπ(level),T1/2(level),E(γ)(keV),I(γ),M(γ),Final Levels,
12818.1 2,1+,2.3 keV 4,"2457.3,    2989.7,    3953.3,    4162.8,    4379.3,    5069.8,    6385.0,    7581.6,    8578.1,   11446.5,   12814.4","2.6 13 ,     3.9 19 ,     6 3 ,    17 8 ,     9 5 ,    18 9 ,    18 9 ,     2.6 13 ,    54 3 ,    26 13 ,   100 5",", , , , , , , , , ,","10360.7,     9828.0,     8864.5,     8654.9,     8438.4,     7747.7,     6432.2,     5235.16,     4238.35,     1368.667,        0","2+, 1+, 2-, 2+, 1-, 1+, 0+, 3+, 2+, 2+, 0+"
12846.9 5,"(3-,4+)",0.2 keV 1,"6835.5,    7610.4,    8606.9,    8722.3,   11475.3","6.1 31 ,     4.1 20 ,   100 5 ,    73 4 ,    20 10",", , , ,","6010.34,     5235.16,     4238.35,     4122.853,     1368.667","4+, 3+, 2+, 4+, 2+"
12852.3 5,,0.3 keV 1,,,,,
12854 1,"(1+,2+,3+)",0.4 keV 1,"7618,    8614,   11482,   12850","52 3 ,   100 5 ,    18 9 ,     9 5",", , ,","5235.16,     4238.35,     1368.667,        0","3+, 2+, 2+, 0+"
12861 3,"2+,3-",< 1 keV,"3560,    4422,    6850,    8736","52 4 ,    40 4 ,   100 4 ,    19 4",", , ,","9301.07,     8438.4,     6010.34,     4122.853","(4+), 1-, 4+, 4+"
12895.1 5,1+,0.3 keV 2,"4239.8,    5146.8?,    7658.6,    8655.1,   11523.4","4.2 21 ,     6.9 35 ,    16.7 8 ,    11 6 ,   100 6",", , , ,","8654.9,     7747.7,     5235.16,     4238.35,     1368.667","2+, 1+, 3+, 2+, 2+"
12921.6 5,"(2+,3-,4+)",6.5 keV 5,"3636.9,    4266.3,    4563.0,    7685.1,    8681.6,    8797.0,   11549.9","24 12 ,    14 7 ,    59 3 ,   100 5 ,    72 4 ,    52 3 ,    24 12",", , , , , ,","9284.4,     8654.9,     8358.1,     5235.16,     4238.35,     4122.853,     1368.667","2+,4+, 2+, 3-, 3+, 2+, 4+, 2+"
12955.5 1,1+,1.9 keV 1,"1502.6,    2243.2,    2275.7,    2594.6,    2844.4,    2896.2,    2990.0,    3127.1,    3649.8,    3809.0,    3951.6,    4090.6,    4300.2,    4516.6,    5206.6,    5605.1,    6521.4,    8714.8,   11583.2,   12951.1","0.06 1 ,     0.016 5 ,     0.021 4 ,     1.43 5 ,     0.123 6 ,     0.157 7 ,     0.029 4 ,     0.89 2 ,     0.81 2 ,     0.65 2 ,     0.030 2 ,     0.31 1 ,     0.20 1 ,     0.064 5 ,     0.014 2 ,     0.16 6 ,     1.17 4 ,     1.12 4 ,   100.0 5 ,     9.6 4",", , , , , , , , , , , , , , , , , , ,","11452.8,    10712.2,    10679.7,    10360.7,    10110.9,    10059.1,     9965.3,     9828.0,     9305.39,     9146.2,     9003.5,     8864.5,     8654.9,     8438.4,     7747.7,     7348.60,     6432.2,     4238.35,     1368.667,        0","2+, 1+, 0+, 2+, (0+), (1,2)+, 1+, 1+, 0+, 1-, 2+, 2-, 2+, 1-, 1+, 2+, 0+, 2+, 2+, 0+"
12963.9 5,2-,3.5 keV 2,"2904.6,    7727.4,    8723.8,   11592.2,   12960.1","4.1,    21,     4.1,   100,     8.2",", , , ,","10059.1,     5235.16,     4238.35,     1368.667,        0","(1,2)+, 3+, 2+, 2+, 0+"
12967.9 5,,< 1.5 keV,,,,,
12975 3,4+,3.3 keV 3,,,,,
12997.9 5,,0.3 keV 2,,,,,
13029.8 1,"2+,3-",0.7 keV 1,"2668.9,    3571.7,    3729.7,    4025.9,    4374.5,    4590.9,    5412.7,    7793.3,    8789.7,    8905.2,   11658.1","1.0,     4.1,     3.1,     8,     4.1,     3.1,    22,   100,    49,     6.1,     3.5",", , , , , , , , , ,","10360.7,     9457.81,     9299.8,     9003.5,     8654.9,     8438.4,     7616.41,     5235.16,     4238.35,     4122.853,     1368.667","2+, (3)+, , 2+, 2+, 1-, 3-, 3+, 2+, 4+, 2+"
