Nucleus      Ex   T1/2      Jπ       m(nm)             Method      NSR_Keynumber       Journal_Reference
34 Se 74     1363      1.86 ps      4+          1.7(3)        TF          1998Sp03         PR C57 2181 (98)


PR C100 044317
34 Se 76     559      12.3 ps      2+        +0.70(11)       TF          2019Mc05
(2019)
34 Se 76     1216      3.4 ps       2+         0.61(11)       TF          1998Sp03         PR C57 2181 (98)
34 Se 76     1331      1.52 ps      4+          2.2(4)        TF          1998Sp03         PR C57 2181 (98)


34 Se 77     250      9.6 ns      5/2-        +1.12(3)     TDPAC         1984Za08         JP G10 1571 (84)
34 Se 77     439      23 ps       5/2-        +1.0(3)      IMPAC         1970RoZS         Cf69Heid 419 (69)


PR C100 044317
34 Se 78     614      9.8 ps       2+        +0.65(10)       TF          2019Mc05
(2019)
34 Se 78     1308      4.2 ps       2+          0.6(2)        TF          1998Sp03         PR C57 2181 (98)
34 Se 78     1503      1.04 ps      4+          1.3(4)        TF          1998Sp03         PR C57 2181 (98)


PR C100 044317
34 Se 80     666      8.5 ps       2+        +0.75(11)       TF          2019Mc05
(2019)
34 Se 80     1449      1.95 ps      2+          0.6(2)        TF          1998Sp03         PR C57 2181 (98)
34 Se 80     1701      0.66 ps      4+          2.3(9)        TF          1998Sp03         PR C57 2181 (98)


PR C100 044317
34 Se 82     655      3.1 ps       2+        +0.86(13)       TF          2019Mc05
(2019)
34 Se 82     1735      0.96 ps      4+         2.0(13)        TF          1998Sp03         PR C57 2181 (98)


1.97(13)
35 Br 73     241      35 ns     3/2-or5/2-      1.97(13)or3.28(22)           TDPAD         1987He27         PR C36 2409 (87)
(I=3/2)
3.28(22)
(I=5/2)


35 Br 77     130      9.3 ns      5/2+        +3.30(3)     TDPAC         1991Gr15         ZP A340 349 (91)


35 Br 78     32       11.3 ns      (2)-       -1.12(4)     TDPAD         1973Pl07         NP A215 471 (73)
Cf74Upp 258 (74)/ZP
35 Br 78     181      119 mus      4(+)       +4.114(12)   NMR/AC     1974FoYO/1971Br31
244 375 (71)


35 Br 79     217      47 ps       5/2-         1.0(3)        TF          1994Sp05         NP A578 300 (94)
35 Br 79     523      1.91 ps     5/2-         2.8(8)        TF          1994Sp05         NP A578 300 (94)
35 Br 79     761      1.50 ps     7/2-         1.9(4)        TF          1994Sp05         NP A578 300 (94)


35 Br 80     37       7.4 ns       2-        -1.67(12)     TDPAD         1973Pl07         NP A215 471 (73)


35 Br 81     276      9.7 ps      5/2-         1.6(5)        TF          1996Ja09         NP A601 117 (96)
35 Br 81     536      35 ps       9/2+        5.70(5)     SOP/RDAD       1972Ch34          PL 35B 501 (71)
35 Br 81     767      0.55 ps     5/2-         1.0(4)        TF          1996Ja09         NP A601 117 (96)
35 Br 81     837      1.1 ps      7/2-         1.4(4)        TF          1996Ja09         NP A601 117 (96)


36 Kr 76     424      24.9 ps      2+         +0.7(2)        TF          2004Ku11         PL B591 213 (04)


22
Nucleus    Ex (keV)    T1/2          I        munm      Method   NSR Keynumber     Journal Reference


36 Kr 78     455      21.6 ps       2+      +0.86(14)     TF        2004Ku11        PL B591 213 (04)
36 Kr 78     1119      2.5 ps        4+       +1.8(4)      TF        2001Me20       PR C64 024314 (01)
36 Kr 78     1148      3.3 ps        2+       +1.3(7)      TF        2001Me20       PR C64 024314 (01)


