Nucleus      Ex   T1/2      Jπ       m(nm)             Method      NSR_Keynumber       Journal_Reference
82 Pb 205    3196      217 ns     25/2-    -0.845(14)   TDPAD        1976Li09      ZP A277 273 (76)
82 Pb 205    5161       63 ns    33/2+      -2.44(8)    TDPAD        1983St15      NP A411 248 (83)


"82 Pb 206     803      8.3 ps      2+        <0.03      RIV/D, R     1986Bi13       HFI 30 265 (86)"
82 Pb 206     2200      125 mus      7-      -0.152(3)    SOPAD        1972Ma24      NP A186 97 (72)
82 Pb 206     2384       30 ps      6-       +0.8(4)      IPAC        1970Za03      NP A146 215 (70)
82 Pb 206     4027      202 ns     12+       -1.80(2)    TDPAD        1983St15      NP A411 248 (83)


82 Pb 207     570      130 ps     5/2-      +0.80(3)     IPAC        1973Ao01      JPJS 34 271 (73)


82 Pb 208    2615      16.7 ps     3-       +1.7(4)      IPAC        1969Bo12       PL 29B 226 (69)
82 Pb 208    3198      294 ps      5-       +0.11(4)     IPAC        1969Bo01      NP A138 90 (69)


82 Pb 210    1195       49 ns      6+       -1.87(9)    TDPAD        1983De34      PR C28 1060 (83)
82 Pb 210    1278      201 ns      8+       -2.50(6)    TDPAD        1983De34      PR C28 1060 (83)


83 Bi 202   605+x    3.04 mus    (10-)     2.56(3)     TDPAD        1985No09      ZP A322 463 (85)
83 Bi 202   2597+x   310 ns    (17+)      2.06(5)     TDPAD        1982Hu07      NP A382 56 (82)


83 Bi 203    1991       90 ns    21/2+      2.79(4)     TDPAD        1982Hu07      NP A382 56 (82)
83 Bi 203    2042      194 ns    25/2+      3.33(5)     TDPAD        1982Hu07      NP A382 56 (82)


83 Bi 204     806      13.0 ms    10-        2.4(2)     TDPAD        1985No09      ZP A322 463 (85)


83 Bi 205    2064      100 ns    21/2+      2.70(4)     TDPAD        1982Hu07      NP A382 56 (82)
83 Bi 205    2139      220 ns    25/2+      3.21(5)     TDPAD        1982Hu07      NP A382 56 (82)


PL 46B 65 (73)/ZP
83 Bi 206    1045      0.89 ms    10-      2.644(14)    NMR/AC       1985No09
A322 463 (85)


83 Bi 207    2101      182 mus    21/2+      +3.41(6)    SOPAD        1972Ma24      NP A186 97 (72)


83 Bi 208    1571      2.58 ms    10-      2.672(14)    NMR/AD       1985No09      ZP A322 463 (85)


83 Bi 209    2564       15 fs    (9/2)+      3.5(7)      Mu-X        1972Le07      NP A181 14 (72)

48
Nucleus     Ex (keV)    T1/2       I       munm      Method   NSR Keynumber   Journal Reference
83 Bi 209    2741      9.1 ps    15/2+    6.2(12)     Mu-X       1972Le07      NP A181 14 (72)
83 Bi 209    2986      18 ns     19/2+    3.50(8)     TDPAD      1978Be17      PR C17 1359 (78)


83 Bi 210     433      57 ns      7-     +2.11(5)     TDPAD      1972Ba65      PRL 29 496 (72)
83 Bi 210     439      38 ns      5-     +1.53(5)     TDPAD      1972Ba65      PRL 29 496 (72)


84 Po 198    1854      29 ns      8+      +7.3(2)     TDPAD      1986Ma31      ZP A324 123 (86)
84 Po 198    2566      200 ns     11-    +12.1(6)     TDPAD      1986Ma31      ZP A324 123 (86)
84 Po 198    2692+x     750 ns    12+      -1.86(4)    TDPAD      1986Ma31      ZP A324 123 (86)


84 Po 200    1774      61 ns      8+     +7.44(16)    TDPAD      1986Ma31      ZP A324 123 (86)
84 Po 200    2596      100 ns     11-    +11.9(2)     TDPAD      1986Ma31      ZP A324 123 (86)
84 Po 200    2805+x   268 ns    12+      -1.79(2)    TDPAD      1986Ma31      ZP A324 123 (86)


84 Po 202   1692+x   110 ns     8+     7.45(12)     TDPAD      1976Ha56      NP A273 253 (76)
84 Po 202   2604+x   85 ns      11-     11.9(4)     TDPAD      1976Ha56      NP A273 253 (76)


84 Po 204    1639      154 ns     8+     +7.38(10)    SOPAD      1973Br14      NP A206 452 (73)
84 Po 204    3564      11.5 ns    15-      6.2(3)     TDPAD      1982Ha16       ZP A305 1 (82)


84 Po 205     880      645 mus    13/2+    -0.95(5)    TDPAD      1974BrXD      Cf74Upp 116 (74)


84 Po 206    1586      232 ns     8+     +7.35(10)    SOPAD      1973Br14      NP A206 452 (73)


84 Po 207    1115      49 mus     13/2+   -0.910(14)   TDPAD      1973Ri06      PL 44B 456 (73)
84 Po 207    2380      43 ns     25/2+    5.41(4)     TDPAD      1985Ro07       PS 31 122 (85)


84 Po 208    1528      350 ns     8+     +7.37(5)     TDPAD      1976Ha56      NP A273 253 (76)
84 Po 208    2703      8.0 ns     11-    12.11(14)    TDPAD      1985Ro07       PS 31 122 (85)


84 Po 209    1418      24 ns     13/2-    6.13(9)     TDPAD      1976Ha56      NP A273 253 (76)
84 Po 209    1473      89 ns     17/2-    7.75(5)     TDPAD      1976Ha56      NP A273 253 (76)
84 Po 209    4266      119 ns    31/2-   +9.68(8)     TDPAD      1976Re12        PS 14 95 (76)


84 Po 210    1473      43 ns      6+      5.48(5)     TDPAD      1976Ha56      NP A273 253 (76)
84 Po 210    1557      99 ns      8+     +7.35(5)     TDPAD      1976Ha56      NP A273 253 (76)
84 Po 210    2849      19.6 ns    11-    +12.20(9)    TDPAD      1976Ha56      NP A273 253 (76)
84 Po 210    4372      54 ns      13-    6.80(17)     TDPAD      1985Be22       PS 31 333 (85)
84 Po 210    5058      263 ns    16+      9.84(8)     TDPAD      1985Be22       PS 31 333 (85)


84 Po 211    1065      14 ns     15/2-   -0.38(15)    IPAD       1973FaZD      JPJS 34 287 (73)


85 At 207    2117      108 ns    25/2+   +3.75(13)    TDPAD      1981Sj01      PR C23 272 (81)


85 At 208    1090      48 ns      10-    +2.69(3)     TDPAD      1985No09      ZP A322 463 (85)


85 At 209    1428      25.3 ns   21/2-   +10.0(2)     TDPAD      1976Sj01      PR C14 1023 (76)



49
Nucleus     Ex (keV)    T1/2        I        munm      Method   NSR Keynumber   Journal Reference
85 At 209    2429      916 ns    29/2+     15.38(14)    TDPAD      1987Ca23       HFI 34 77 (87)


85 At 210    2550      482 ns     (15)-    15.48(15)    TDPAD      1987Ca23       HFI 34 77 (87)
85 At 210    4028      5.66 mus   (19)+     13.26(13)    TDPAD      1987Ca23       HFI 34 77 (87)


85 At 211    1416      35.1 ns   (21/2)-    +9.56(9)    TDPAD      1976Ha62       HFI 2 334 (76)
85 At 211    2641      50.8 ns   (29/2)+   +15.31(13)   TDPAD      1976Ha62       HFI 2 334 (76)
85 At 211    4815      4.2 mus    (39/2)-   13.46(14)    TDPAD      1985Be22       PS 31 333 (85)


85 At 212     885      18.7 ns   (11+)      5.94(11)    TDPAD      1994By01      NP A567 445 (94)
85 At 212     1605      35.4 ns    (15-)     9.46(8)     TDPAD      1994By01      NP A567 445 (94)


86 Rn 206    1924      6.3 ns      8+        6.6(4)     TDPAD      1981Ma28        HFI 9 87 (81)
86 Rn 206    2476      65 ns      (10-)    11.15(10)    TDPAD      1981Ma28        HFI 9 87 (81)


86 Rn 207     899      185 mus    13/2+     -0.903(3)    TDPAD      1978Ha50       HFI 4 291 (78)


86 Rn 208    1828      487 ns      8+       6.94(8)     TDPAD      1981Ma28        HFI 9 87 (81)
86 Rn 208    2618      11.8 ns    10-      10.72(10)    TDPAD      1981Ma28        HFI 9 87 (81)


86 Rn 210   1665+x   644 ns     (8+)      7.14(6)     TDPAD      1986Po01      NP A448 189 (86)
86 Rn 210   2564+x   64 ns      (11)-    12.16(11)    TDPAD      1981Ma28        HFI 9 87 (81)
86 Rn 210   3248+x   76 ns     (14)+     14.85(10)    TDPAD      1986Po01      NP A448 189 (86)
86 Rn 210   3812+x   1.06 mus    (17)-     17.80(9)    TDPAD      1986Po01      NP A448 189 (86)
86 Rn 210   4993+x   12.3 ns   (20)+     22.22(10)               1986Po01      NP A448 189 (86)
86 Rn 210   6469+x   1.04 mus   (23)+     16.05(16)               1986Po01      NP A448 189 (86)
86 Rn 210   7311+x   34 ns      (26)-     19.0(2)                1986Po01      NP A448 189 (86)


86 Rn 211   1578+x   596 ns    (17/2-)    +7.72(8)    TDPAD      1985Po06      PL 154B 263 (85)
86 Rn 211   3926+x   40 ns     (35/2+)    +17.7(2)    TDPAD      1985Po06      PL 154B 263 (85)
86 Rn 211   5246+x   14 ns     (43/2-)    +15.9(4)    TDPAD      1985Po06      PL 154B 263 (85)
86 Rn 211   6100+y   28 ns     (49/2+)    +18.7(2)    TDPAD      1985Po06      PL 154B 263 (85)
86 Rn 211   8856+y   201 ns    (63/2-)    +19.5(2)    TDPAD      1985Po06      PL 154B 263 (85)


86 Rn 212    1502      8.8 ns      4+        4.0(2)     TDPAD      1988St17      NP A486 397 (88)
86 Rn 212    1640      118 ns     (6)+      5.43(5)     TDPAD      1988St17      NP A486 397 (88)
"TDPAD,"
86 Rn 212    1694      0.91 mus    (8+)      +7.15(2)               1979Ho06      NP A317 520 (79)
SOPAD
86 Rn 212    3358      7.4 ns    (14+)      15.0(4)     TDPAD      1988St17      NP A486 397 (88)
86 Rn 212    4067      29 ns      (17-)     17.9(2)     TDPAD      1988St17      NP A486 397 (88)
86 Rn 212    6167+x   109 ns    (22+)      15.8(2)     TDPAD      1988St17      NP A486 397 (88)
86 Rn 212    7135+x   18 ns      (25-)     17.8(5)     TDPAD      1977Ho17      PRL 39 389 (77)
86 Rn 212    7871+x   14 ns      (27-)     17.0(8)     TDPAD      1977Ho17      PRL 39 389 (77)
86 Rn 212    8571+x   154 ns    (30+)      19.62(9)    TDPAD      1977Ho17      PRL 39 389 (77)


86 Rn 213    1664      29 ns     (21/2+)    4.73(11)    TDPAD      1988St10      NP A482 692 (88)
86 Rn 213    1664+x   1.0 mus    (25/2+)     7.6(3)     TDPAD      1988St10      NP A482 692 (88)
86 Rn 213    2187+x   1.36 mus   (31/2-)    9.86(8)     TDPAD      1988St10      NP A482 692 (88)


50
Nucleus     Ex (keV)    T1/2        I        munm      Method   NSR Keynumber   Journal Reference
86 Rn 213    3029+x    26 ns    (37/2+)   13.61(13)    TDPAD      1988St10      NP A482 692 (88)
86 Rn 213    3494+x    28 ns    (43/2-)   15.52(15)    TDPAD      1988St10      NP A482 692 (88)
86 Rn 213    4506+x    12 ns    (49/2+)    19.8(3)     TDPAD      1988St10      NP A482 692 (88)
86 Rn 213    5929+y   164 ns    (55/2+)   16.54(14)    TDPAD      1988St10      NP A482 692 (88)


86 Rn 222     186      0.32 ns     2+      +0.92(14)    IPAC       1970Or02      NP A148 516 (70)


87 Fr 211    2423      146 ns    (29/2+)   15.31(15)    TDPAD      1986By01      NP A448 137 (86)
87 Fr 211    4657      123 ns    (45/2-)    24.2(2)     TDPAD      1986By01      NP A448 137 (86)


87 Fr 212    1551      31.9 mus   (11+)      9.85(4)     SOPAD      1977Be56       HFI 3 297 (77)
87 Fr 212    2492      604 ns     (15-)    +15.65(12)   TDPAD      1989By01      PL B217 38 (89)
87 Fr 212    4834      4.2 ns    (22+)       22(4)      TDPAD      1986By01      NP A448 137 (86)
87 Fr 212    5855      312 ns     (27-)     21.8(3)     TDPAD      1986By01      NP A448 137 (86)


87 Fr 213    1411       18 ns     17/2-     7.5(14)     TDPAD      1986By01      NP A448 137 (86)
87 Fr 213    1590      505 ns     21/2-     9.28(3)     TDPAD      1977Be56       HFI 3 397 (77)
87 Fr 213    2538      238 ns    29/2+      15.15(5)    TDPAD      1977Be56       HFI 3 397 (77)
87 Fr 213    4993       13 ns     45/2-     23.2(7)     TDPAD      1986By01      NP A448 137 (86)
87 Fr 213    8095      3.1 mus     65/2-     +22.5(2)    TDPAD      1989By01      PL B217 38 (89)


87 Fr 214     638      103 ns    (11+)      +5.60(7)    TDPAD      1994By01      NP A567 445 (94)
87 Fr 214     4318+x    8 ns      (27-)     +19.7(8)    TDPAD      1994By01      NP A567 445 (94)
87 Fr 214     6477+y   108 ns    (33+)      +22(3)      TDPAD      1994By01      NP A567 445 (94)


87 Fr 215    1440       4 ns     (19/2)-     3.1(9)     TDPAD      1984De16      NP A419 163 (84)
87 Fr 215    2016      4.7 ns    (29/2+)      7(3)      TDPAD      1984De16      NP A419 163 (84)
87 Fr 215    2251      5.3 ns    (33/2+)      8(2)      TDPAD      1984De16      NP A419 163 (84)
87 Fr 215    3069      14.6 ns   (39/3-)     9.2(2)     TDPAD      1984De16      NP A419 163 (84)


88 Ra 212    1958      10.9 mus    (8)+      7.08(7)     SOPAD      1986Ko01      PR C33 392 (86)
88 Ra 212    2613      0.85 mus    (11)-     12.0(2)     SOPAD      1986Ko01      PR C33 392 (86)


88 Ra 213    1770      2.15 ms   (17/2-)     7.4(4)     LEMS       1994Ne01      PR C49 645 (94)


88 Ra 214    1865       67 mus       8+       7.04(3)     SOPAD      1977Be56       HFI 3 297 (77)
88 Ra 214    2683      295 ns     11-       11.92(8)    TDPAD      1992St09      NP A548 159 (92)
88 Ra 214    3478      279 ns     14+       14.22(6)    TDPAD      1992St09      NP A548 159 (92)
88 Ra 214    4147      225 ns     17-       17.27(5)    TDPAD      1992St09      NP A548 159 (92)
88 Ra 214    6577      128 ns     (25-)     16.5(3)     TDPAD      1992St09      NP A548 159 (92)


88 Ra 215   3757+x   555 ns    (43/2-)    15.53(7)    TDPAD      1998St24      NP A641 401 (98)
88 Ra 215   4567+x   10.5 ns   (49/2+)    18.9(2)     TDPAD      1998St24      NP A641 401 (98)


88 Ra 216    3763      5.3 ns     19-       +9.7(6)     TDPAD      1985Ad09      NP A442 361 (85)
88 Ra 216    5170      6.6 ns     (25-)    +15.8(15)    TDPAD      1985Ad09      NP A442 361 (85)




51
 Nucleus    Ex (keV)    T1/2        I       munm      Method    NSR Keynumber      Journal Reference
88 Ra 223     50       0.63 ns    3/2-     +0.43(6)    IPAC         1970Le13          PR C2 672 (70)


88 Ra 224     84       0.75 ns     2+       +0.9(2)    IPAC         1973He13          ZP 260 57 (73)


89 Ac 215    1621      30 ns     (17/2-)   7.74(13)    TDPAD        1983De08         ZP A310 55(83)
89 Ac 215    1796      185 ns    (21/2-)   9.56(16)    TDPAD        1983De08         ZP A310 55(83)
89 Ac 215    2438+x     335 ns    (29/2+)   14.98(22)   TDPAD        1983De08         ZP A310 55(83)


89 Ac 217      0       69 ns      9/2-     +3.83(5)    TDPAD        1985De14        NP A436 311 (85)
89 Ac 217     2013      740 ns    (29/2+)   +5.03(7)    TDPAD        1985De14        NP A436 311 (85)


PR 171 316 (68)/NP
93 Np 237     60       67 ns      5/2-     +1.85(20)    ME      1968Du02/1967Gu08
A104 588(67)


93 Np 239     75       1.39 ns    5/2-      +2.2(4)    IPAC         1967Gu08        NP A104 588 (67)


94 Pu 237    1534      97 ns      (3/2)    -0.68(5)    TDPAD        1982Ra04         PRL 48 982 (82)


94 Pu 239     285      1.12 ns    5/2+      -1.3(3)    IPAC         1974Pa03         PR C9 1515 (74)


95 Am 242    2200      14 ms     (2+/3-)   -1.14(8)    LRSRD        1996Ba52        HFI 97/98 535 (96)


95 Am 243     84       2.3 ns     5/2+      +2.9(2)     ME          1986Sa10         PL 115A 71 (86)




52

